Local time,Open,High,Low,Close,Volume
01.01.2017 00:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 01:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 02:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 03:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 04:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 05:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 06:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 07:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 08:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 09:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 10:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 11:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 12:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 13:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 14:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 15:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 16:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 17:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 18:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 19:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 20:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 21:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 22:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
01.01.2017 23:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 00:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 01:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 02:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 03:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 04:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 05:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 06:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 07:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 08:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
02.01.2017 09:00:00.000 GMT+0100,82.529,82.529,81.669,82.451,50391017.9138
02.01.2017 10:00:00.000 GMT+0100,82.450,83.120,82.450,83.119,36386768.3411
02.01.2017 11:00:00.000 GMT+0100,83.119,83.240,82.870,82.950,10774870.8725
02.01.2017 12:00:00.000 GMT+0100,82.953,83.069,82.939,82.999,12586964.6072
02.01.2017 13:00:00.000 GMT+0100,82.980,83.189,82.960,83.189,3713563.9191
02.01.2017 14:00:00.000 GMT+0100,83.190,83.250,83.070,83.200,8298950.1953
02.01.2017 15:00:00.000 GMT+0100,83.209,83.531,83.159,83.469,25745491.0278
02.01.2017 16:00:00.000 GMT+0100,83.490,83.560,83.249,83.280,36674312.5916
02.01.2017 17:00:00.000 GMT+0100,83.269,83.390,83.179,83.300,22049369.812
02.01.2017 18:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
02.01.2017 19:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
02.01.2017 20:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
02.01.2017 21:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
02.01.2017 22:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
02.01.2017 23:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
03.01.2017 00:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
03.01.2017 01:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
03.01.2017 02:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
03.01.2017 03:00:00.000 GMT+0100,83.300,83.300,83.300,83.300,0
